X,Y,U,V,T,
0.4775,0.0025,-0.00342007,-6.20123e-05,0.152896,
0.4825,0.0025,-0.0033548,-6.85211e-05,0.152602,
0.4875,0.0025,-0.00328309,-7.49008e-05,0.152306,
0.4925,0.0025,-0.00320509,-8.10897e-05,0.152008,
0.4975,0.0025,-0.00312103,-8.70292e-05,0.151708,
0.5025,0.0025,-0.00303119,-9.26588e-05,0.151406,
0.5075,0.0025,-0.0029359,-9.79233e-05,0.151102,
0.5125,0.0025,-0.00283555,-0.000102768,0.150796,
0.5175,0.0025,-0.0027306,-0.000107143,0.150489,
0.5225,0.0025,-0.00262152,-0.000111005,0.150179,
0.5275,0.0025,-0.00250886,-0.000114315,0.149868,
0.5325,0.0025,-0.00239319,-0.000117039,0.149554,
0.5375,0.0025,-0.00227509,-0.000119154,0.149239,
0.5425,0.0025,-0.00215519,-0.00012064,0.148922,
0.5475,0.0025,-0.00203413,-0.00012149,0.148603,
0.5525,0.0025,-0.00191253,-0.000121699,0.148281,
0.5575,0.0025,-0.00179105,-0.000121276,0.147958,
0.5625,0.0025,-0.00167029,-0.000120232,0.147632,
0.5675,0.0025,-0.00155088,-0.000118589,0.147304,
0.5725,0.0025,-0.0014334,-0.000116375,0.146973,
0.5775,0.0025,-0.0013184,-0.000113625,0.146639,
0.5825,0.0025,-0.0012064,-0.000110376,0.146303,
0.5875,0.0025,-0.00109787,-0.000106675,0.145964,
0.5925,0.0025,-0.000993252,-0.000102566,0.145621,
0.5975,0.0025,-0.000892918,-9.81016e-05,0.145275,
0.6025,0.0025,-0.000797202,-9.33317e-05,0.144925,
0.6075,0.0025,-0.000706381,-8.83084e-05,0.144572,
0.6125,0.0025,-0.000620686,-8.30815e-05,0.144214,
0.6175,0.0025,-0.000540296,-7.76997e-05,0.143852,
0.6225,0.0025,-0.000465343,-7.22068e-05,0.143484,
0.6275,0.0025,-0.000395917,-6.66434e-05,0.143112,
0.6325,0.0025,-0.000332075,-6.10423e-05,0.142735,
0.6375,0.0025,-0.000273838,-5.54306e-05,0.142351,
0.6425,0.0025,-0.00022121,-4.98253e-05,0.141962,
0.6475,0.0025,-0.00017418,-4.42348e-05,0.141566,
0.6525,0.0025,-0.000132735,-3.86552e-05,0.141164,
0.6575,0.0025,-9.68718e-05,-3.30711e-05,0.140755,
0.6625,0.0025,-6.66096e-05,-2.7453e-05,0.140338,
0.6675,0.0025,-4.20045e-05,-2.17572e-05,0.139913,
0.6725,0.0025,-2.31639e-05,-1.59238e-05,0.139481,
0.6775,0.0025,-1.02635e-05,-9.877e-06,0.13904,
0.6825,0.0025,-3.56342e-06,-3.52301e-06,0.13859,
0.6875,0.0025,-3.42651e-06,3.24926e-06,0.138131,
0.6925,0.0025,-1.03361e-05,1.05699e-05,0.137663,
0.6975,0.0025,-2.49143e-05,1.85867e-05,0.137185,
0.7025,0.0025,-4.79408e-05,2.74662e-05,0.136696,
0.7075,0.0025,-8.03702e-05,3.73927e-05,0.136197,
0.7125,0.0025,-0.000123351,4.85685e-05,0.135687,
0.7175,0.0025,-0.000178241,6.12126e-05,0.135166,
0.7225,0.0025,-0.000246628,7.55603e-05,0.134632,
0.7275,0.0025,-0.000330339,9.18615e-05,0.134086,
0.7325,0.0025,-0.000431459,0.00011038,0.133527,
0.7375,0.0025,-0.000552344,0.00013139,0.132954,
0.7425,0.0025,-0.000695626,0.000155174,0.132366,
0.7475,0.0025,-0.000864224,0.000182022,0.131763,
0.7525,0.0025,-0.00106135,0.000212222,0.131143,
0.7575,0.0025,-0.00129048,0.000246055,0.130505,
0.7625,0.0025,-0.00155541,0.000283788,0.129848,
0.7675,0.0025,-0.00186013,0.000325662,0.12917,
0.7725,0.0025,-0.0022089,0.000371881,0.128469,
0.7775,0.0025,-0.00260614,0.000422593,0.127744,
0.7825,0.0025,-0.00305637,0.000477872,0.126991,
0.7875,0.0025,-0.00356416,0.000537702,0.12621,
0.7925,0.0025,-0.00413398,0.000601946,0.125396,
0.7975,0.0025,-0.00477012,0.000670329,0.124548,
0.8025,0.0025,-0.00547649,0.000742407,0.123662,
0.8075,0.0025,-0.00625646,0.000817544,0.122736,
0.8125,0.0025,-0.00711268,0.000894881,0.121764,
0.8175,0.0025,-0.00804678,0.000973322,0.120745,
0.8225,0.0025,-0.00905919,0.0010515,0.119673,
0.8275,0.0025,-0.0101488,0.00112777,0.118546,
0.8325,0.0025,-0.0113128,0.00120018,0.117358,
0.8375,0.0025,-0.0125461,0.00126648,0.116106,
0.8425,0.0025,-0.0138414,0.00132412,0.114784,
0.8475,0.0025,-0.0151886,0.00137023,0.113388,
0.8525,0.0025,-0.0165746,0.0014017,0.111913,
0.8575,0.0025,-0.017983,0.00141514,0.110353,
0.8625,0.0025,-0.0193941,0.00140703,0.108703,
0.8675,0.0025,-0.0207845,0.00137374,0.106957,
0.8725,0.0025,-0.0221272,0.00131171,0.105108,
0.8775,0.0025,-0.0233918,0.00121761,0.103151,
0.8825,0.0025,-0.0245449,0.00108856,0.101079,
0.8875,0.0025,-0.0255504,0.00092248,0.0988851,
0.8925,0.0025,-0.0263709,0.000718415,0.0965618,
0.8975,0.0025,-0.0269685,0.000476794,0.0941021,
0.9025,0.0025,-0.027307,0.000200189,0.0914983,
0.9075,0.0025,-0.0273536,-0.000106898,0.0887428,
0.9125,0.0025,-0.0270815,-0.000437414,0.085828,
0.9175,0.0025,-0.0264722,-0.000781029,0.0827466,
0.9225,0.0025,-0.0255191,-0.00112529,0.0794907,
0.9275,0.0025,-0.0242286,-0.00145569,0.0760527,
0.9325,0.0025,-0.0226225,-0.00175647,0.0724244,
0.9375,0.0025,-0.0207384,-0.00201173,0.0685976,
0.9425,0.0025,-0.0186291,-0.00220698,0.0645631,
0.9475,0.0025,-0.0163603,-0.00233053,0.0603112,
0.9525,0.0025,-0.0140075,-0.00237508,0.0558307,
0.9575,0.0025,-0.0116506,-0.00233869,0.0511092,
0.9625,0.0025,-0.00936856,-0.0022254,0.0461329,
0.9675,0.0025,-0.00723361,-0.00204451,0.040887,
0.9725,0.0025,-0.00530658,-0.00180956,0.0353571,
0.9775,0.0025,-0.00363444,-0.00153471,0.0295314,
0.9825,0.0025,-0.00225118,-0.00123182,0.0234057,
0.9875,0.0025,-0.0011843,-0.000901919,0.0169894,
0.9925,0.0025,-0.000466867,-0.000532957,0.010316,
0.9975,0.0025,-0.000200388,-0.000200388,0.00345607,
1,0.0025,0,0,0,
0,0.0075,0,0,1,
0.0025,0.0075,-0.0074583,0.00845007,0.900859,
0.0075,0.0075,-0.013249,0.0113989,0.709213,
0.0125,0.0075,-0.0231882,0.00779172,0.545506,
0.0175,0.0075,-0.0294253,0.00338844,0.421725,
0.0225,0.0075,-0.0319514,0.000176064,0.335911,
0.0275,0.0075,-0.0318289,-0.0016476,0.279249,
0.0325,0.0075,-0.0302049,-0.00246433,0.24257,
0.0375,0.0075,-0.0279021,-0.00266315,0.218866,
0.0425,0.0075,-0.0254306,-0.00253816,0.203416,
0.0475,0.0075,-0.0230645,-0.00226656,0.193206,
0.0525,0.0075,-0.0209322,-0.00195266,0.186351,
0.0575,0.0075,-0.0190754,-0.00164686,0.181669,
0.0625,0.0075,-0.017491,-0.00137367,0.178414,
0.0675,0.0075,-0.0161541,-0.00113943,0.176108,
0.0725,0.0075,-0.0150323,-0.000944428,0.174443,
0.0775,0.0075,-0.0140923,-0.000783981,0.173214,
0.0825,0.0075,-0.0133039,-0.000653442,0.172287,
0.0875,0.0075,-0.0126404,-0.000547233,0.17157,
0.0925,0.0075,-0.0120797,-0.000461105,0.171,
0.0975,0.0075,-0.0116034,-0.00039085,0.170535,
0.1025,0.0075,-0.0111966,-0.000333518,0.170145,
