x,y,u,v,p
13.525,-0.5,0,0,0.09402732
13.55,-0.5,0,0,0.09368344
13.575,-0.5,0,0,0.09333926
13.6,-0.5,0,0,0.09299478
13.625,-0.5,0,0,0.09265003
13.65,-0.5,0,0,0.09230497
13.675,-0.5,0,0,0.09195963
13.7,-0.5,0,0,0.09161399
13.725,-0.5,0,0,0.09126808
13.75,-0.5,0,0,0.09092189
13.775,-0.5,0,0,0.09057542
13.8,-0.5,0,0,0.09022867
13.825,-0.5,0,0,0.08988164
13.85,-0.5,0,0,0.08953435
13.875,-0.5,0,0,0.0891868
13.9,-0.5,0,0,0.08883899
13.925,-0.5,0,0,0.0884909
13.95,-0.5,0,0,0.08814256
13.975,-0.5,0,0,0.08779395
14,-0.5,0,0,0.08744511
14.025,-0.5,0,0,0.087096
14.05,-0.5,0,0,0.08674664
14.075,-0.5,0,0,0.08639704
14.1,-0.5,0,0,0.08604718
14.125,-0.5,0,0,0.0856971
14.15,-0.5,0,0,0.08534678
14.175,-0.5,0,0,0.0849962
14.2,-0.5,0,0,0.0846454
14.225,-0.5,0,0,0.08429436
14.25,-0.5,0,0,0.0839431
14.275,-0.5,0,0,0.0835916
14.3,-0.5,0,0,0.08323988
14.325,-0.5,0,0,0.08288793
14.35,-0.5,0,0,0.08253576
14.375,-0.5,0,0,0.08218338
14.4,-0.5,0,0,0.08183078
14.425,-0.5,0,0,0.08147794
14.45,-0.5,0,0,0.08112491
14.475,-0.5,0,0,0.08077165
14.5,-0.5,0,0,0.08041821
14.525,-0.5,0,0,0.08006455
14.55,-0.5,0,0,0.07971068
14.575,-0.5,0,0,0.0793566
14.6,-0.5,0,0,0.07900232
14.625,-0.5,0,0,0.07864785
14.65,-0.5,0,0,0.07829318
14.675,-0.5,0,0,0.0779383
14.7,-0.5,0,0,0.07758325
14.725,-0.5,0,0,0.07722799
14.75,-0.5,0,0,0.07687254
14.775,-0.5,0,0,0.07651692
14.8,-0.5,0,0,0.07616109
14.825,-0.5,0,0,0.07580508
14.85,-0.5,0,0,0.07544889
14.875,-0.5,0,0,0.07509253
14.9,-0.5,0,0,0.07473599
14.925,-0.5,0,0,0.07437927
14.95,-0.5,0,0,0.07402236
14.975,-0.5,0,0,0.07366528
15,-0.5,0,0,0.07330804
15.025,-0.5,0,0,0.07295062
15.05,-0.5,0,0,0.07259303
15.075,-0.5,0,0,0.07223527
15.1,-0.5,0,0,0.07187734
15.125,-0.5,0,0,0.07151926
15.15,-0.5,0,0,0.07116101
15.175,-0.5,0,0,0.0708026
15.2,-0.5,0,0,0.07044402
15.225,-0.5,0,0,0.07008528
15.25,-0.5,0,0,0.0697264
15.275,-0.5,0,0,0.06936736
15.3,-0.5,0,0,0.06900816
15.325,-0.5,0,0,0.06864881
15.35,-0.5,0,0,0.0682893
15.375,-0.5,0,0,0.06792966
15.4,-0.5,0,0,0.06756986
15.425,-0.5,0,0,0.06720991
15.45,-0.5,0,0,0.06684983
15.475,-0.5,0,0,0.06648958
15.5,-0.5,0,0,0.06612922
15.525,-0.5,0,0,0.0657687
15.55,-0.5,0,0,0.06540804
15.575,-0.5,0,0,0.06504724
15.6,-0.5,0,0,0.06468631
15.625,-0.5,0,0,0.06432524
15.65,-0.5,0,0,0.06396404
15.675,-0.5,0,0,0.06360269
15.7,-0.5,0,0,0.06324123
15.725,-0.5,0,0,0.06287962
15.75,-0.5,0,0,0.0625179
15.775,-0.5,0,0,0.06215605
15.8,-0.5,0,0,0.06179406
15.825,-0.5,0,0,0.06143194
15.85,-0.5,0,0,0.06106971
15.875,-0.5,0,0,0.06070735
15.9,-0.5,0,0,0.06034487
15.925,-0.5,0,0,0.05998227
15.95,-0.5,0,0,0.05961955
15.975,-0.5,0,0,0.0592567
16,-0.5,0,0,0.05889376
16.025,-0.5,0,0,0.05853069
16.05,-0.5,0,0,0.0581675
16.075,-0.5,0,0,0.05780417
16.1,-0.5,0,0,0.05744075
16.125,-0.5,0,0,0.05707724
16.15,-0.5,0,0,0.05671361
16.175,-0.5,0,0,0.05634986
16.2,-0.5,0,0,0.05598597
16.225,-0.5,0,0,0.055622
16.25,-0.5,0,0,0.05525794
16.275,-0.5,0,0,0.05489377
16.3,-0.5,0,0,0.05452948
16.325,-0.5,0,0,0.05416507
16.35,-0.5,0,0,0.05380057
16.375,-0.5,0,0,0.05343599
16.4,-0.5,0,0,0.05307131
16.425,-0.5,0,0,0.05270651
16.45,-0.5,0,0,0.05234159
16.475,-0.5,0,0,0.0519766
16.5,-0.5,0,0,0.05161152
16.525,-0.5,0,0,0.05124635
16.55,-0.5,0,0,0.05088106
16.575,-0.5,0,0,0.05051566
16.6,-0.5,0,0,0.05015019
16.625,-0.5,0,0,0.04978464
16.65,-0.5,0,0,0.04941899
16.675,-0.5,0,0,0.04905325
16.7,-0.5,0,0,0.04868738
16.725,-0.5,0,0,0.04832145
16.75,-0.5,0,0,0.04795545
16.775,-0.5,0,0,0.04758936
16.8,-0.5,0,0,0.04722318
16.825,-0.5,0,0,0.04685688
16.85,-0.5,0,0,0.04649051
16.875,-0.5,0,0,0.04612408
16.9,-0.5,0,0,0.04575757
16.925,-0.5,0,0,0.04539095
16.95,-0.5,0,0,0.04502423
16.975,-0.5,0,0,0.04465746
17,-0.5,0,0,0.04429062
17.025,-0.5,0,0,0.04392369
17.05,-0.5,0,0,0.04355668
17.075,-0.5,0,0,0.04318956
17.1,-0.5,0,0,0.04282239
17.125,-0.5,0,0,0.04245516
17.15,-0.5,0,0,0.04208785
17.175,-0.5,0,0,0.04172045
17.2,-0.5,0,0,0.04135295
17.225,-0.5,0,0,0.04098541
17.25,-0.5,0,0,0.0406178
17.275,-0.5,0,0,0.04025012
17.3,-0.5,0,0,0.03988235
17.325,-0.5,0,0,0.03951449
17.35,-0.5,0,0,0.03914658
17.375,-0.5,0,0,0.03877862
17.4,-0.5,0,0,0.03841059
17.425,-0.5,0,0,0.03804247
17.45,-0.5,0,0,0.03767427
17.475,-0.5,0,0,0.03730601
17.5,-0.5,0,0,0.03693771
17.525,-0.5,0,0,0.03656934
17.55,-0.5,0,0,0.03620089
17.575,-0.5,0,0,0.03583235
17.6,-0.5,0,0,0.03546377
17.625,-0.5,0,0,0.03509514
17.65,-0.5,0,0,0.03472645
17.675,-0.5,0,0,0.03435768
17.7,-0.5,0,0,0.03398883
17.725,-0.5,0,0,0.03361994
17.75,-0.5,0,0,0.033251
17.775,-0.5,0,0,0.032882
17.8,-0.5,0,0,0.03251293
17.825,-0.5,0,0,0.03214376
17.85,-0.5,0,0,0.03177458
17.875,-0.5,0,0,0.03140534
17.9,-0.5,0,0,0.03103605
17.925,-0.5,0,0,0.03066669
17.95,-0.5,0,0,0.03029724
17.975,-0.5,0,0,0.02992776
18,-0.5,0,0,0.02955824
18.025,-0.5,0,0,0.02918866
18.05,-0.5,0,0,0.02881902
18.075,-0.5,0,0,0.0284493
18.1,-0.5,0,0,0.02807955
18.125,-0.5,0,0,0.02770976
18.15,-0.5,0,0,0.02733991
18.175,-0.5,0,0,0.02697
18.2,-0.5,0,0,0.02660001
